epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.035,2.24933,4.62552,1.36582,0.01455,0.06349,0.02456,0.01565,1.30255,3.65812,1.16075,0,0,0
2,34.9517,2.03818,4.50435,1.35915,0.01722,0.07407,0.03232,0.01864,1.28051,3.55821,1.14344,8.24753e-06,8.24753e-06,8.24753e-06
3,52.2702,2.09904,4.40447,1.36343,0.05171,0.24339,0.08185,0.03643,1.2348,3.30123,1.11365,1.63301e-05,1.63301e-05,1.63301e-05
4,71.675,1.74798,4.05111,1.26289,0.29623,0.2381,0.22237,0.08042,1.17331,2.9595,1.07167,2.42478e-05,2.42478e-05,2.42478e-05
5,90.1288,2.06501,3.737,1.29832,0.76529,0.17806,0.23626,0.09609,1.08611,2.61615,1.02103,3.20005e-05,3.20005e-05,3.20005e-05
6,108.579,1.70408,3.34444,1.16261,0.48811,0.24339,0.25,0.09636,1.02847,2.33468,0.97986,3.95883e-05,3.95883e-05,3.95883e-05
7,126.796,1.65645,2.57657,1.12286,0.47966,0.25661,0.27971,0.11162,0.98553,2.10608,0.94513,4.70112e-05,4.70112e-05,4.70112e-05
8,144.975,1.57354,2.32795,1.08181,0.47619,0.30159,0.30676,0.13961,1.03347,1.67383,0.94271,5.42691e-05,5.42691e-05,5.42691e-05
9,164.926,1.54013,2.07095,1.06846,0.33909,0.28307,0.31642,0.1445,1.0661,1.33369,0.9371,6.13621e-05,6.13621e-05,6.13621e-05
10,184.245,1.25388,1.41588,1.00634,0.52004,0.27249,0.28483,0.1229,1.11699,1.48961,0.94922,6.82902e-05,6.82902e-05,6.82902e-05
11,202.742,1.27219,1.15325,0.97597,0.36128,0.26984,0.25346,0.10011,1.16349,1.92123,0.96917,7.50533e-05,7.50533e-05,7.50533e-05
12,221.159,1.17371,1.17159,0.95608,0.37736,0.26984,0.25885,0.09099,1.15888,2.0961,0.97535,8.16515e-05,8.16515e-05,8.16515e-05
13,240.464,1.27118,1.08672,0.95631,0.3833,0.29365,0.27444,0.12321,1.14433,1.94961,0.96346,8.80848e-05,8.80848e-05,8.80848e-05
14,259.388,1.18414,0.92153,0.92009,0.32731,0.30159,0.20702,0.10861,1.13355,1.77613,0.95693,9.43531e-05,9.43531e-05,9.43531e-05
15,278.033,1.12567,0.83912,0.91628,0.3259,0.31481,0.30744,0.16388,1.06758,1.62886,0.94354,0.000100456,0.000100456,0.000100456
16,298.889,1.1684,0.93525,0.93078,0.36199,0.30952,0.31055,0.18391,1.01935,1.62852,0.93809,0.000106395,0.000106395,0.000106395
17,319.299,0.96092,0.76855,0.90596,0.35671,0.31746,0.31201,0.13692,1.00625,1.78401,0.93838,0.000112168,0.000112168,0.000112168
18,340.147,1.02942,0.73502,0.90115,0.35671,0.31746,0.31201,0.13692,1.00625,1.78401,0.93838,0.000117777,0.000117777,0.000117777
19,359.75,1.04583,0.70548,0.90265,0.33764,0.32011,0.31567,0.15027,0.99191,1.70118,0.9391,0.000123221,0.000123221,0.000123221
20,379.148,1.0455,0.7848,0.8995,0.33764,0.32011,0.31567,0.15027,0.99191,1.70118,0.9391,0.000128499,0.000128499,0.000128499
21,397.273,0.97454,0.70067,0.89223,0.34976,0.32011,0.31196,0.16919,0.99961,1.64775,0.94959,0.000133613,0.000133613,0.000133613
22,414.954,0.94479,0.61962,0.88277,0.34976,0.32011,0.31196,0.16919,0.99961,1.64775,0.94959,0.000138562,0.000138562,0.000138562
23,432.978,0.99077,0.74818,0.90317,0.32712,0.31481,0.30906,0.16742,1.00529,1.63853,0.94816,0.000143346,0.000143346,0.000143346
24,451.05,0.95057,0.68178,0.87705,0.32712,0.31481,0.30906,0.16742,1.00529,1.63853,0.94816,0.000147965,0.000147965,0.000147965
25,469.445,0.97436,0.68232,0.88422,0.35945,0.31481,0.22674,0.14358,1.02247,1.66646,0.95042,0.000152419,0.000152419,0.000152419
26,486.964,0.98235,0.70807,0.89422,0.35945,0.31481,0.22674,0.14358,1.02247,1.66646,0.95042,0.000156708,0.000156708,0.000156708
27,505.078,0.95521,0.70543,0.89276,0.36074,0.31338,0.23473,0.15372,1.00574,1.46972,0.93024,0.000160832,0.000160832,0.000160832
28,522.932,1.0385,0.64456,0.88276,0.36074,0.31338,0.23473,0.15372,1.00574,1.46972,0.93024,0.000164792,0.000164792,0.000164792
29,540.904,0.97649,0.64086,0.87963,0.39746,0.32011,0.32007,0.22436,1.00666,1.27485,0.93482,0.000168586,0.000168586,0.000168586
